"country_id","group","country_zh","country_en","flag","status","fallback_type"
"MEX","A","墨西哥","Mexico","🇲🇽","✅","none"
"RSA","A","南非","South Africa","🇿🇦","🟡","none"
"KOR","A","韩国","South Korea","🇰🇷","✅","none"
"CZE","A","捷克","Czechia","🇨🇿","✅","none"
"CAN","B","加拿大","Canada","🇨🇦","🟡","none"
"BIH","B","波黑","Bosnia and Herzegovina","🇧🇦","🟡","none"
"QAT","B","卡塔尔","Qatar","🇶🇦","🔴","hard"
"SUI","B","瑞士","Switzerland","🇨🇭","🟡","none"
"BRA","C","巴西","Brazil","🇧🇷","✅","none"
"MAR","C","摩洛哥","Morocco","🇲🇦","🟡","none"
"HAI","C","海地","Haiti","🇭🇹","🔴","soft"
"SCO","C","苏格兰","Scotland","🏴󠁧󠁢󠁳󠁣󠁴󠁿","🟡","none"
"USA","D","美国","United States","🇺🇸","✅","none"
"PAR","D","巴拉圭","Paraguay","🇵🇾","🔴","soft"
"AUS","D","澳大利亚","Australia","🇦🇺","✅","none"
"TUR","D","土耳其","Türkiye","🇹🇷","✅","none"
"GER","E","德国","Germany","🇩🇪","✅","none"
"CUW","E","库拉索","Curaçao","🇨🇼","🔴","hard"
"CIV","E","科特迪瓦","Côte d'Ivoire","🇨🇮","🟡","none"
"ECU","E","厄瓜多尔","Ecuador","🇪🇨","🔴","soft"
"NED","F","荷兰","Netherlands","🇳🇱","✅","none"
"JPN","F","日本","Japan","🇯🇵","✅","none"
"SWE","F","瑞典","Sweden","🇸🇪","✅","none"
"TUN","F","突尼斯","Tunisia","🇹🇳","🟡","none"
"BEL","G","比利时","Belgium","🇧🇪","✅","none"
"EGY","G","埃及","Egypt","🇪🇬","✅","none"
"IRN","G","伊朗","Iran","🇮🇷","✅","none"
"NZL","G","新西兰","New Zealand","🇳🇿","🟡","none"
"ESP","H","西班牙","Spain","🇪🇸","✅","none"
"CPV","H","佛得角","Cape Verde","🇨🇻","🔴","hard"
"KSA","H","沙特阿拉伯","Saudi Arabia","🇸🇦","🟡","none"
"URU","H","乌拉圭","Uruguay","🇺🇾","🟡","none"
"FRA","I","法国","France","🇫🇷","✅","none"
"SEN","I","塞内加尔","Senegal","🇸🇳","✅","none"
"IRQ","I","伊拉克","Iraq","🇮🇶","🔴","soft"
"NOR","I","挪威","Norway","🇳🇴","✅","none"
"ARG","J","阿根廷","Argentina","🇦🇷","✅","none"
"ALG","J","阿尔及利亚","Algeria","🇩🇿","🟡","none"
"AUT","J","奥地利","Austria","🇦🇹","✅","none"
"JOR","J","约旦","Jordan","🇯🇴","🟡","none"
"POR","K","葡萄牙","Portugal","🇵🇹","✅","none"
"COD","K","刚果(金)","DR Congo","🇨🇩","🔴","soft"
"UZB","K","乌兹别克斯坦","Uzbekistan","🇺🇿","🔴","hard"
"COL","K","哥伦比亚","Colombia","🇨🇴","🟡","none"
"ENG","L","英格兰","England","🏴󠁧󠁢󠁥󠁮󠁧󠁿","✅","none"
"CRO","L","克罗地亚","Croatia","🇭🇷","🟡","none"
"GHA","L","加纳","Ghana","🇬🇭","🟡","none"
"PAN","L","巴拿马","Panama","🇵🇦","🔴","hard"
