"country_id","country_zh","slot","title_zh","title_en","title_original","year","director","letterboxd_url","poster_url","status",""
"MEX","墨西哥","1","爱情是狗娘","Amores Perros","Amores perros","2000","Alejandro González Iñárritu","https://letterboxd.com/tmdb/55/","https://image.tmdb.org/t/p/w500/A4lH22nlFF7MdalGfcvSrlC1ttt.jpg","live",""
"MEX","墨西哥","2","你妈妈也一样","Y Tu Mamá También","Y tu mamá también","2001","Alfonso Cuarón","https://letterboxd.com/tmdb/1391/","https://image.tmdb.org/t/p/original/5e8ffqjhAQSFkr7fUtaqW0f2skB.jpg","live",""
"MEX","墨西哥","3","寂静之光","Silent Light","Stellet Licht","2007","Carlos Reygadas","https://letterboxd.com/tmdb/2012/","https://image.tmdb.org/t/p/w500/kniOoQky3GX9ljyzobwRUGFgQUT.jpg","live",""
"RSA","南非","1","黑帮暴徒","Tsotsi","Tsotsi","2005","Gavin Hood","https://letterboxd.com/tmdb/868/","https://image.tmdb.org/t/p/w500/r3ebTJFcDZ35GaKcuUQQe243z4f.jpg","live",""
"RSA","南非","2","美丽","Beauty","Skoonheid","2011","Oliver Hermanus","https://letterboxd.com/tmdb/96551/","https://image.tmdb.org/t/p/original/wB3Ckhbc4bNVh0aDwr2L2gsDow8.jpg","live",""
"RSA","南非","3","第九区","District 9","District 9","2009","Neill Blomkamp","https://letterboxd.com/tmdb/17654/","https://image.tmdb.org/t/p/w500/tuGlQkqLxnodDSk6mp5c2wvxUEd.jpg","live",""
"KOR","韩国","1","寄生虫","Parasite","Gisaengchung","2019","Bong Joon-ho","https://letterboxd.com/tmdb/496243/","https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg","live",""
"KOR","韩国","2","燃烧","Burning","Burning","2018","Lee Chang-dong","https://letterboxd.com/tmdb/491584/","https://image.tmdb.org/t/p/w500/kXiF80o74fE9gf3Utf9moAI7ar0.jpg","live",""
"KOR","韩国","3","春夏秋冬又一春","Spring, Summer, Fall, Winter... and Spring","Spring, Summer, Fall, Winter... and Spring","2003","Kim Ki-duk","https://letterboxd.com/tmdb/113/","https://image.tmdb.org/t/p/w500/6SQQ5REuAz7k0FMQ9mSCT40T2LN.jpg","live",""
"CZE","捷克","1","严密监视的列车","Closely Watched Trains","Ostre sledované vlaky","1966","Jiří Menzel","https://letterboxd.com/tmdb/789/","https://image.tmdb.org/t/p/w500/oKiOhsSRWO6fRqxtvda8WuCiXBm.jpg","live",""
"CZE","捷克","2","消防员舞会","The Firemen's Ball","Horí, má panenko","1967","Miloš Forman","https://letterboxd.com/tmdb/38442/","https://image.tmdb.org/t/p/w500/yylEjPttmTDar0o92StlrO5ghmw.jpg","live",""
"CZE","捷克","3","森林边缘的寂寞","Seclusion Near a Forest","Na samotě u lesa","1976","Jiří Menzel","https://letterboxd.com/tmdb/75026/","https://image.tmdb.org/t/p/w500/b6KQtJB3pKV7GuEp1VrOOx2Ezc6.jpg","live",""
"CAN","加拿大","1","烈火焚身","Incendies","Incendies","2010","Denis Villeneuve","https://letterboxd.com/tmdb/46738/","https://image.tmdb.org/t/p/w500/yH6DAQVgbyj72S66gN4WWVoTjuf.jpg","live",""
"CAN","加拿大","2","我杀了我妈妈","I Killed My Mother","J'ai tué ma mère","2009","Xavier Dolan","https://letterboxd.com/tmdb/26280/","https://image.tmdb.org/t/p/w500/nB6OuDdERS95aQtoxPExXxsW3Ov.jpg","live",""
"CAN","加拿大","3","蒙特利尔，我的美人","Montréal, ma belle","Montréal, ma belle","2025","Xiaodan He","https://letterboxd.com/tmdb/1178620/","https://image.tmdb.org/t/p/w500/7yK7d7dngyx2YTWlbyHHOZeLlUJ.jpg","live",""
"BIH","波黑","1","无主之地","No Man's Land","Ničija zemlja","2001","Danis Tanović","https://letterboxd.com/tmdb/8342/","https://image.tmdb.org/t/p/w500/oTEmaYRKqWig5lhmwEQE0ZU3SRl.jpg","live",""
