"match_id","group","matchday","date","kickoff_et","venue_city","home_id","away_id"
"M01","A","1","2026-06-11","15:00","Mexico City","MEX","RSA"
"M02","A","1","2026-06-11","22:00","Guadalajara","KOR","CZE"
"M03","B","1","2026-06-12","15:00","Toronto","CAN","BIH"
"M04","D","1","2026-06-12","21:00","Los Angeles","USA","PAR"
"M05","B","1","2026-06-13","15:00","San Francisco","QAT","SUI"
"M06","C","1","2026-06-13","18:00","New Jersey","BRA","MAR"
"M07","C","1","2026-06-13","21:00","Boston","HAI","SCO"
"M08","D","1","2026-06-14","0:00","Vancouver","AUS","TUR"
"M09","E","1","2026-06-14","13:00","Houston","GER","CUW"
"M10","F","1","2026-06-14","16:00","Dallas","NED","JPN"
"M11","E","1","2026-06-14","19:00","Philadelphia","CIV","ECU"
"M12","F","1","2026-06-14","22:00","Monterrey","SWE","TUN"
"M13","H","1","2026-06-15","12:00","Atlanta","ESP","CPV"
"M14","G","1","2026-06-15","15:00","Seattle","BEL","EGY"
"M15","H","1","2026-06-15","18:00","Miami","KSA","URU"
"M16","G","1","2026-06-15","21:00","Los Angeles","IRN","NZL"
"M17","I","1","2026-06-16","15:00","New Jersey","FRA","SEN"
"M18","I","1","2026-06-16","18:00","Boston","IRQ","NOR"
"M19","J","1","2026-06-16","21:00","Kansas City","ARG","ALG"
"M20","J","1","2026-06-17","0:00","San Francisco","AUT","JOR"
"M21","K","1","2026-06-17","13:00","Houston","POR","COD"
"M22","L","1","2026-06-17","16:00","Dallas","ENG","CRO"
"M23","L","1","2026-06-17","19:00","Toronto","GHA","PAN"
"M24","K","1","2026-06-17","22:00","Mexico City","UZB","COL"
"M25","A","2","2026-06-18","12:00","Atlanta","CZE","RSA"
"M26","B","2","2026-06-18","15:00","Los Angeles","SUI","BIH"
"M27","B","2","2026-06-18","18:00","Vancouver","CAN","QAT"
"M28","A","2","2026-06-18","21:00","Guadalajara","MEX","KOR"
"M29","D","2","2026-06-19","15:00","Seattle","USA","AUS"
"M30","C","2","2026-06-19","18:00","Boston","SCO","MAR"
"M31","C","2","2026-06-19","20:30","Philadelphia","BRA","HAI"
"M32","D","2","2026-06-19","23:00","San Francisco","TUR","PAR"
"M33","F","2","2026-06-20","13:00","Houston","NED","SWE"
"M34","E","2","2026-06-20","16:00","Toronto","GER","CIV"
"M35","E","2","2026-06-20","20:00","Kansas City","ECU","CUW"
"M36","F","2","2026-06-21","0:00","Monterrey","TUN","JPN"
"M37","H","2","2026-06-21","12:00","Atlanta","ESP","KSA"
"M38","G","2","2026-06-21","15:00","Los Angeles","BEL","IRN"
"M39","H","2","2026-06-21","18:00","Miami","URU","CPV"
"M40","G","2","2026-06-21","21:00","Vancouver","NZL","EGY"
"M41","J","2","2026-06-22","13:00","Dallas","ARG","AUT"
"M42","I","2","2026-06-22","17:00","Philadelphia","FRA","IRQ"
"M43","I","2","2026-06-22","20:00","New Jersey","NOR","SEN"
"M44","J","2","2026-06-22","23:00","San Francisco","JOR","ALG"
"M45","K","2","2026-06-23","13:00","Houston","POR","UZB"
"M46","L","2","2026-06-23","16:00","Boston","ENG","GHA"
"M47","L","2","2026-06-23","19:00","Toronto","PAN","CRO"
"M48","K","2","2026-06-23","22:00","Guadalajara","COL","COD"
"M49","B","3","2026-06-24","15:00","Vancouver","SUI","CAN"
"M50","B","3","2026-06-24","15:00","Seattle","BIH","QAT"
"M51","C","3","2026-06-24","18:00","Miami","SCO","BRA"
"M52","C","3","2026-06-24","18:00","Atlanta","MAR","HAI"
"M53","A","3","2026-06-24","21:00","Mexico City","CZE","MEX"
"M54","A","3","2026-06-24","21:00","Monterrey","RSA","KOR"
"M55","E","3","2026-06-25","16:00","Philadelphia","CUW","CIV"
"M56","E","3","2026-06-25","16:00","New Jersey","ECU","GER"
"M57","F","3","2026-06-25","19:00","Dallas","JPN","SWE"
"M58","F","3","2026-06-25","19:00","Kansas City","TUN","NED"
"M59","D","3","2026-06-25","22:00","Los Angeles","TUR","USA"
"M60","D","3","2026-06-25","22:00","San Francisco","PAR","AUS"
"M61","I","3","2026-06-26","15:00","Boston","NOR","FRA"
"M62","I","3","2026-06-26","15:00","Toronto","SEN","IRQ"
"M63","H","3","2026-06-26","20:00","Houston","CPV","KSA"
"M64","H","3","2026-06-26","20:00","Guadalajara","URU","ESP"
"M65","G","3","2026-06-26","23:00","Seattle","EGY","IRN"
"M66","G","3","2026-06-26","23:00","Vancouver","NZL","BEL"
"M67","L","3","2026-06-27","17:00","New Jersey","PAN","ENG"
"M68","L","3","2026-06-27","17:00","Philadelphia","CRO","GHA"
"M69","K","3","2026-06-27","19:30","Miami","COL","POR"
"M70","K","3","2026-06-27","19:30","Atlanta","COD","UZB"
"M71","J","3","2026-06-27","22:00","Kansas City","ALG","AUT"
"M72","J","3","2026-06-27","22:00","Dallas","JOR","ARG"
